index,model,time,label,start,start_act,end_act,h,n_obs,start_flag,n_obs_flag,pi,score,mape,rmse,coverage,success,experiment_id,run_id,subba
20,LinearRegressionModel,2024-06-26 14:19:38,2024-06-26,2024-06-26 00:00:00,2024-06-26,2024-06-26 23:00:00,24,24,True,True,0.95,True,0.15256555139473,37.62126882759124,0.75,True,341216981082656470,5cd8c52b4f0045fa9848b434fb659328,VEA
21,LinearRegressionModel,2024-06-30 21:11:04,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.0270834469191945,394.19592145798816,1.0,True,352181836743002905,163de182b3604836b4d79597b138ba5d,PGAE
22,LinearRegressionModel,2024-06-30 21:12:28,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.0369328057432569,619.2587840353701,0.9166666666666666,True,882348557214612962,52ac902b481a45abb23c2ce0dbc56282,SCE
23,LinearRegressionModel,2024-06-30 21:13:21,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.029417004879508,64.26569058901141,1.0,True,561342251890326323,65c5aa1591654b769f6dbf28bbe6ce37,SDGE
24,LinearRegressionModel,2024-06-30 21:14:01,2024-06-30,2024-06-30 00:00:00,2024-06-30,2024-06-30 23:00:00,24,24,True,True,0.95,True,0.0429117821659983,9.65877623357024,0.9166666666666666,True,368745293176303763,0eb42c30eec443da97e73a1619d7e505,VEA
25,LinearRegressionModel,2024-07-01 12:38:26,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,True,0.0685903764233302,1187.2784196082837,0.5,True,224497293642481438,9b8c3e7d9cdf4390b6c089fe544d10f8,PGAE
26,LinearRegressionModel,2024-07-01 12:39:53,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,True,0.075999714906918,1416.8957008864686,0.625,True,643864724810309394,cb20d636df2d460283e51081917aee7e,SCE
27,LinearRegressionModel,2024-07-01 12:40:45,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,True,0.02997489955456,76.00705388751496,1.0,True,756233989576774391,31ea763e7a7d412ca7b213afb9ba8261,SDGE
28,LinearRegressionModel,2024-07-01 12:41:26,2024-07-01,2024-07-01 00:00:00,2024-07-01,2024-07-01 23:00:00,24,24,True,True,0.95,True,0.057671147988139,12.57604909853111,0.875,True,982363655507543789,561ba6e69baf43a1ad5f359e7833276e,VEA
29,LinearRegressionModel,2024-07-02 12:35:18,2024-07-02,2024-07-02 00:00:00,2024-07-02,2024-07-02 23:00:00,24,24,True,True,0.95,True,0.0463123796497914,910.1195282278924,0.7916666666666666,True,845555408385035844,0d80c8891e3d4e4795cf9de5d0f2130a,PGAE
30,LinearRegressionModel,2024-07-02 12:36:43,2024-07-02,2024-07-02 00:00:00,2024-07-02,2024-07-02 23:00:00,24,24,True,True,0.95,True,0.0345880398126278,652.5107453861369,0.9583333333333334,True,338644955792023596,bf6a0c897a39449e951f1b57d29df62c,SCE
31,LinearRegressionModel,2024-07-02 12:37:36,2024-07-02,2024-07-02 00:00:00,2024-07-02,2024-07-02 23:00:00,24,24,True,True,0.95,True,0.049309808143047,119.99403657474072,1.0,True,141893403175328124,736016d5f647464fb761d483bf463c50,SDGE
32,LinearRegressionModel,2024-07-02 12:38:17,2024-07-02,2024-07-02 00:00:00,2024-07-02,2024-07-02 23:00:00,24,24,True,True,0.95,True,0.0619025935345452,13.848880184800448,0.8333333333333334,True,872716726686684445,2ef1641a97294548b6592ecbfe56ac2b,VEA
33,LinearRegressionModel,2024-07-03 18:24:59,2024-07-03,2024-07-03 00:00:00,2024-07-03,2024-07-03 23:00:00,24,24,True,True,0.95,True,0.0552795258359115,1082.7086781093674,0.7916666666666666,True,125185829256963037,fc9de7cf22c34097a246bd0a106b0898,PGAE
34,LinearRegressionModel,2024-07-03 18:26:24,2024-07-03,2024-07-03 00:00:00,2024-07-03,2024-07-03 23:00:00,24,24,True,True,0.95,True,0.0550593078648476,988.324151079787,0.7916666666666666,True,948712843854090753,e55eab73cca44358a8099b3ea2b8a99b,SCE
35,LinearRegressionModel,2024-07-03 18:27:17,2024-07-03,2024-07-03 00:00:00,2024-07-03,2024-07-03 23:00:00,24,24,True,True,0.95,True,0.0551839712317682,139.89887888182653,1.0,True,736031671710513146,b155e831f0b84785a3648174a963fca5,SDGE
36,LinearRegressionModel,2024-07-03 18:27:58,2024-07-03,2024-07-03 00:00:00,2024-07-03,2024-07-03 23:00:00,24,24,True,True,0.95,True,0.0635256281391907,11.28828258571345,1.0,True,460440523417229331,5cf2db4b14324daa9d066cb709092f23,VEA
37,LinearRegressionModel,2024-07-04 18:25:53,2024-07-04,2024-07-04 00:00:00,2024-07-04,2024-07-04 23:00:00,24,24,True,True,0.95,True,0.0478787639235942,817.4779301652899,0.9166666666666666,True,882625754904528235,ff367f1aba9e437fbe36be906d46e1df,PGAE
38,LinearRegressionModel,2024-07-04 18:27:18,2024-07-04,2024-07-04 00:00:00,2024-07-04,2024-07-04 23:00:00,24,24,True,True,0.95,True,0.0718301879765366,1160.8377094694858,0.5416666666666666,True,282398433041351802,716277fff24a4a509745d6157ec4292b,SCE
39,LinearRegressionModel,2024-07-04 18:28:10,2024-07-04,2024-07-04 00:00:00,2024-07-04,2024-07-04 23:00:00,24,24,True,True,0.95,True,0.0779510810855051,176.7740681284157,1.0,True,706689748485574919,c4452cca4a124033aa2573042479d321,SDGE
40,LinearRegressionModel,2024-07-04 18:28:51,2024-07-04,2024-07-04 00:00:00,2024-07-04,2024-07-04 23:00:00,24,24,True,True,0.95,True,0.0650257558650595,12.59002366293718,0.875,True,788275462982475309,db132b087baf46589b78567bbfc79bdc,VEA
41,LinearRegressionModel,2024-07-05 18:26:00,2024-07-05,2024-07-05 00:00:00,2024-07-05,2024-07-05 23:00:00,24,24,True,True,0.95,True,0.0968717323069233,1529.3427342777447,0.3333333333333333,True,699725234028779916,d0fbff8fe2c84e50ae72fba0a8088aa5,PGAE
42,LinearRegressionModel,2024-07-05 18:27:26,2024-07-05,2024-07-05 00:00:00,2024-07-05,2024-07-05 23:00:00,24,24,True,True,0.95,True,0.0757135753652586,1384.5138168196145,0.625,True,521503945748959547,a98aeaee58ad404aa85aa42fe724eaf0,SCE
43,LinearRegressionModel,2024-07-05 18:28:19,2024-07-05,2024-07-05 00:00:00,2024-07-05,2024-07-05 23:00:00,24,24,True,True,0.95,True,0.0679298505437808,162.72245394446475,1.0,True,535751426925304434,5743440e17a14fb2841480fee5da0847,SDGE
